Age,Gender,Budget,Occupants,Duration,Preferred_Floor,Preferred_View
56,1,15387,1,12,1,Sunrise
46,0,18002,1,12,1,Sunset
32,1,15536,1,1,2,Sunrise
60,0,23479,1,12,1,Sunset
25,1,13913,2,6,1,Sunrise
38,1,11066,1,6,2,No sunlight
56,1,17723,1,12,1,Sunrise
36,1,14380,1,12,2,Sunrise
40,1,20636,1,6,2,Sunrise
28,0,14107,1,6,2,Sunset
28,0,15726,2,1,1,Sunset
41,0,13373,1,6,2,Sunset
53,1,22161,2,6,1,Sunrise
57,0,20738,2,12,1,Sunset
41,1,18945,1,6,2,Sunrise
20,1,12082,1,1,2,No sunlight
39,0,20966,1,6,2,Sunset
19,0,21088,1,12,2,Sunset
41,1,22377,2,12,1,Sunrise
61,0,18967,1,6,1,Sunset
47,1,16748,1,12,1,Sunrise
55,1,19817,1,1,1,Sunrise
19,1,21261,1,1,2,Sunrise
38,1,10417,1,6,2,No sunlight
50,1,18306,1,6,1,Sunrise
29,0,18808,2,6,1,Sunset
39,0,13974,2,12,1,Sunset
61,1,13267,1,1,1,Sunrise
42,1,10825,1,1,2,No sunlight
44,0,17668,1,12,2,Sunset
59,0,15745,2,1,1,Sunset
45,1,19708,1,6,2,Sunrise
33,0,21338,2,6,1,Sunset
32,1,10412,1,6,2,No sunlight
64,0,17543,1,1,1,Sunset
61,1,17587,1,6,1,Sunrise
20,0,10728,1,12,2,No sunlight
54,1,21540,2,12,1,Sunrise
24,0,17164,2,1,1,Sunset
38,0,21000,1,12,2,Sunset
26,1,18867,1,12,2,Sunrise
56,0,21657,2,1,1,Sunset
35,1,15988,2,6,1,Sunrise
21,0,12504,2,6,1,No sunlight
42,1,12967,2,6,1,No sunlight
31,0,24527,1,1,2,Sunset
26,1,12786,2,12,1,No sunlight
43,0,11122,1,6,2,No sunlight
19,1,14079,2,6,1,Sunrise
37,0,11571,2,1,1,No sunlight
45,1,15073,2,6,1,Sunrise
64,1,15104,2,1,1,Sunrise
24,1,12143,2,12,1,No sunlight
61,0,19879,1,1,1,Sunset
25,1,16806,1,1,2,Sunrise
64,0,17357,2,1,1,Sunset
52,1,22324,2,1,1,Sunrise
31,0,22043,1,12,2,Sunset
34,1,13440,2,12,1,Sunrise
53,0,13766,2,6,1,Sunset
57,0,15644,1,12,1,Sunset
21,1,20518,2,12,1,Sunrise
19,0,24552,2,6,1,Sunset
23,0,12914,1,12,2,No sunlight
59,1,14968,1,1,1,Sunrise
21,0,15917,1,1,2,Sunset
46,0,23584,2,6,1,Sunset
35,0,22144,1,6,2,Sunset
43,1,24397,1,6,2,Sunrise
