Age,Gender,Budget,Occupants,Duration,Occupation,Personality,WFH,Vehicle,Luggage,Preferred_Floor,Preferred_View
56,0,15240,2,1,0,0,1,0,0,1,Sunset
46,0,20453,1,1,2,0,1,0,1,1,Sunset
32,0,20478,1,1,1,1,1,0,1,1,Sunset
60,0,23367,1,1,0,0,0,0,1,1,Sunset
25,0,16493,1,6,1,0,0,1,1,1,Sunset
38,1,22394,1,1,1,1,0,0,0,2,Sunrise
56,0,12878,1,6,1,0,1,0,0,1,Sunset
36,0,14143,2,1,2,0,1,0,1,1,Sunset
40,0,13644,1,12,1,1,1,0,1,1,Sunset
28,1,14432,2,6,1,1,0,0,1,1,Sunrise
28,1,23337,2,12,1,1,1,0,1,1,Sunset
41,0,23568,1,6,0,1,1,0,1,1,Sunset
53,1,20247,2,12,0,1,1,0,1,1,Sunset
57,0,22912,2,1,2,1,0,1,1,1,Sunrise
41,0,24178,2,1,2,1,1,0,1,1,Sunset
20,1,11276,2,1,0,0,0,1,1,1,No sunlight
39,0,15811,2,6,2,1,1,0,0,2,Sunset
19,1,20958,2,12,0,1,0,0,1,1,Sunrise
41,1,10302,1,1,1,1,0,0,0,2,No sunlight
61,0,10638,2,12,1,0,0,0,0,1,No sunlight
47,0,10055,2,12,2,0,1,1,1,1,No sunlight
55,1,23013,2,1,0,1,1,0,1,1,Sunset
19,0,18717,1,1,0,1,0,0,0,2,Sunrise
38,0,22761,2,12,2,1,0,1,0,1,Sunrise
50,0,22315,1,1,0,0,1,1,1,1,Sunset
29,1,18150,2,1,1,0,1,0,0,2,Sunset
39,1,12125,1,1,2,1,0,1,1,1,Sunrise
61,0,21479,1,6,2,0,1,1,1,1,Sunset
42,1,10364,2,12,0,1,1,1,1,1,No sunlight
44,1,16809,2,12,2,0,1,0,0,2,Sunset
59,1,14621,1,6,0,0,1,0,0,1,Sunset
45,1,23623,2,12,0,1,0,0,1,1,Sunrise
33,1,23170,1,1,0,1,1,1,0,1,Sunset
32,0,15126,1,12,0,1,1,0,0,2,Sunset
64,0,15122,1,1,0,1,0,1,0,1,Sunrise
61,0,11646,1,6,2,0,0,0,0,1,No sunlight
20,1,10918,1,1,1,0,1,0,0,1,No sunlight
54,1,12797,2,12,1,0,1,1,0,2,Sunset
24,0,16506,1,12,2,1,1,0,0,2,Sunset
38,1,15870,1,12,2,0,1,1,1,1,Sunset
26,0,11531,2,6,1,1,0,1,0,1,No sunlight
56,0,18172,1,6,1,0,0,0,0,1,Sunset
35,0,13345,2,12,1,1,0,1,0,1,Sunrise
21,1,17673,2,1,1,1,1,0,0,2,Sunset
42,1,16949,2,6,1,0,1,0,0,2,Sunset
31,0,16882,1,12,0,1,1,1,0,1,Sunset
26,0,11906,1,12,2,1,1,0,0,2,No sunlight
43,0,13086,1,6,0,0,0,1,0,1,Sunset
19,0,23503,2,6,1,1,0,0,1,1,Sunrise
37,1,18152,1,6,1,1,1,0,0,2,Sunset
45,1,15750,2,1,1,1,0,0,0,2,Sunrise
64,0,22772,1,1,0,0,1,0,0,1,Sunset
24,0,20267,2,12,0,0,1,0,0,2,Sunset
61,1,18905,1,6,1,1,0,1,1,1,Sunrise
25,1,11062,1,1,0,0,1,1,1,1,No sunlight
64,0,11976,1,6,0,1,1,1,1,1,No sunlight
52,0,11296,2,12,1,1,0,1,1,2,No sunlight
31,0,23542,2,1,0,1,1,1,1,1,Sunset
34,1,16229,1,1,2,1,1,1,1,1,Sunset
53,1,17641,1,1,2,1,0,0,1,1,Sunrise
57,1,10125,2,12,2,0,1,0,1,1,No sunlight
21,0,14632,2,6,2,1,0,1,1,1,Sunrise
19,0,16288,2,1,1,0,1,1,1,1,Sunset
23,1,13596,1,12,1,0,0,0,1,1,Sunset
59,1,21475,2,6,1,1,0,0,1,1,Sunrise
21,0,16168,1,12,2,1,0,0,1,1,Sunrise
46,1,19795,2,6,2,0,1,1,1,2,Sunset
35,1,17561,1,12,0,0,0,1,1,1,Sunset
43,0,18258,2,6,0,0,0,1,1,1,Sunset
61,1,10232,2,1,2,1,0,0,0,1,No sunlight
51,0,20348,2,6,2,0,0,0,1,1,Sunset
27,0,19361,2,12,2,1,0,1,0,1,Sunrise
53,0,20350,2,12,2,1,1,1,1,1,Sunset
31,0,16371,1,6,0,1,1,0,1,1,Sunset
48,0,14206,2,1,2,0,1,0,0,1,Sunset
32,0,19685,2,1,0,1,1,0,1,2,Sunset
25,0,24369,2,6,2,1,1,0,0,2,Sunset
31,1,22910,1,6,2,1,1,1,0,1,Sunset
40,0,17943,2,12,2,1,1,0,0,2,Sunset
57,0,22199,1,1,0,1,0,0,1,1,Sunrise
38,1,16891,2,6,0,0,1,0,1,1,Sunset
33,1,16738,2,1,1,1,0,1,1,1,Sunrise
62,1,12472,1,6,2,1,0,1,0,1,Sunrise
35,0,20852,2,6,1,0,1,0,0,2,Sunset
64,1,23829,1,1,1,1,0,0,1,1,Sunrise
41,0,12739,1,6,0,0,0,0,1,1,Sunset
